Groningen;45.9
Groningen;43.0
Friesland;52.4
Friesland;50.0
Drenthe;55.6
Drenthe;53.0
Overijssel;53.7
Overijssel;51.7
Flevoland;51.7
Flevoland;49.4
Gelderland;53.1
Gelderland;50.7
Utrecht;48.8
Utrecht;46.8
Noord-Holland;45.1
Noord-Holland;42.9
Zuid-Holland;48.3
Zuid-Holland;46.5
Zeeland;55.9
Zeeland;53.8
Noord-Brabant;52.9
Noord-Brabant;50.1
Limburg;53.1
Limburg;50.0
