Groningen;45.9;2010
Groningen;43.0;2015
Friesland;52.4;2010
Friesland;50.0;2015
Drenthe;55.6;2010
Drenthe;53.0;2015
Overijssel;53.7;2010
Overijssel;51.7;2015
Flevoland;51.7;2010
Flevoland;49.4;2015
Gelderland;53.1;2010
Gelderland;50.7;2015
Utrecht;48.8;2010
Utrecht;46.8;2015
Noord-Holland;45.1;2010
Noord-Holland;42.9;2015
Zuid-Holland;48.3;2010
Zuid-Holland;46.5;2015
Zeeland;55.9;2010
Zeeland;53.8;2015
Noord-Brabant;52.9;2010
Noord-Brabant;50.1;2015
Limburg;53.1;2010
Limburg;50.0;2015
